iteration,smooth_cost
1000,86.785017
2000,72.196313
3000,64.807170
4000,61.046055
5000,58.820422
6000,57.699439
7000,57.528033
8000,55.125847
9000,54.283636
10000,54.300842
11000,54.699851
12000,54.197336
13000,53.428535
14000,52.769215
15000,52.768150
16000,51.935094
17000,51.900964
18000,51.534530
19000,51.231733
20000,50.695659
21000,50.323252
22000,49.675361
23000,49.892221
24000,49.920610
25000,50.001406
26000,49.809479
27000,49.756357
28000,49.991681
29000,49.424014
30000,49.151183
31000,49.332204
32000,48.782717
33000,48.955872
34000,48.016141
35000,47.661216
36000,47.915795
37000,48.153707
38000,47.959316
39000,47.663866
40000,47.801218
41000,46.611888
42000,46.713803
43000,46.801986
44000,46.757861
45000,47.872937
46000,48.108956
47000,48.338818
48000,47.912817
49000,48.207366
50000,48.678799
51000,49.888708
52000,48.011628
53000,46.601648
54000,47.402343
55000,48.622753
56000,48.731783
57000,48.301113
58000,47.419072
59000,48.294217
60000,47.148582
61000,47.172210
62000,46.696154
63000,47.270409
64000,46.722860
65000,46.500361
66000,45.854328
67000,46.452860
68000,46.593916
69000,46.821160
70000,46.919232
71000,47.141178
72000,46.981726
73000,46.752248
74000,46.608290
75000,46.371984
76000,46.088047
77000,46.037407
78000,45.485561
79000,44.496892
80000,44.844659
81000,44.572834
82000,45.290792
83000,45.031804
84000,46.090594
85000,44.399743
86000,44.697754
87000,44.643923
88000,44.451546
89000,45.465085
90000,45.451136
91000,46.444209
92000,45.985023
93000,46.239560
94000,46.835677
95000,47.667756
96000,47.043983
97000,45.323391
98000,45.716954
99000,46.433933
100000,46.684593
101000,46.800313
102000,45.679005
103000,46.719281
104000,45.693695
105000,45.049931
106000,44.736141
107000,45.393019
108000,45.072677
109000,44.890210
110000,44.647239
111000,44.929120
112000,44.963748
113000,45.121088
114000,45.593204
115000,45.804844
116000,44.933037
117000,45.941174
118000,45.396587
119000,44.732818
120000,44.961617
121000,44.274045
122000,44.755977
123000,42.907580
124000,43.155192
125000,43.422178
126000,43.849271
127000,44.062835
128000,44.641578
129000,43.557807
130000,43.589568
131000,42.914257
132000,43.015258
133000,43.829764
134000,44.453301
135000,44.895351
136000,44.826387
137000,44.883158
138000,45.103022
139000,45.785178
140000,46.897973
141000,44.648104
142000,44.231234
143000,44.999006
144000,45.814408
145000,45.854826
146000,44.913770
147000,45.711128
148000,44.908422
149000,44.154888
150000,43.921614
151000,43.989682
152000,44.272098
153000,43.784830
154000,43.736279
155000,43.351861
156000,43.628568
157000,43.896466
158000,44.484923
159000,44.321867
160000,44.308466
161000,44.918379
162000,44.156861
163000,44.453271
164000,44.463201
165000,43.435108
166000,43.848582
167000,42.388876
168000,42.670180
169000,42.908396
170000,43.209303
171000,43.394866
172000,43.248308
173000,43.103808
174000,42.359837
175000,42.162961
176000,42.325547
177000,42.416010
178000,43.939274
179000,44.373347
180000,44.149842
181000,44.189252
182000,44.277662
183000,45.149145
184000,46.517149
185000,44.284275
186000,43.398182
187000,43.961469
188000,45.292803
189000,45.311244
190000,44.620006
191000,43.954909
192000,44.656537
193000,43.670351
194000,43.492588
195000,43.103447
196000,43.772134
197000,43.462926
198000,43.119508
199000,42.529959
200000,43.157600
201000,43.518078
202000,43.729361
203000,43.893773
204000,43.840744
205000,44.006968
206000,43.471183
207000,43.624086
208000,43.524430
209000,42.931042
210000,43.068067
211000,42.006156
212000,41.759872
213000,42.133952
214000,41.726609
215000,42.396582
216000,42.309683
217000,43.064618
218000,41.683108
219000,41.971306
220000,41.901050
221000,41.802912
222000,42.997526
223000,42.840170
224000,43.661319
225000,43.090126
226000,43.726460
227000,44.263706
228000,45.566306
229000,44.370103
230000,42.553807
231000,43.196710
232000,43.732448
233000,44.274140
234000,44.131271
235000,43.412826
236000,44.240223
237000,42.783989
238000,42.622588
239000,42.031420
240000,42.999103
241000,42.625118
242000,42.355530
243000,42.304848
244000,42.814536
245000,42.573583
246000,42.750198
247000,43.140293
248000,43.885227
249000,43.052679
250000,43.611622
251000,43.345799
252000,42.601591
253000,42.893819
254000,42.160837
255000,42.286106
256000,40.767670
257000,41.117383
258000,41.193749
259000,41.682928
260000,41.813687
261000,42.555887
262000,41.397053
263000,41.408424
264000,41.019388
265000,40.933664
266000,42.031479
267000,42.559716
268000,42.730883
269000,42.546528
270000,42.989755
271000,43.416079
272000,43.978663
273000,44.827830
274000,42.617827
275000,42.631594
276000,43.017266
277000,43.823511
278000,44.170073
279000,42.727899
280000,43.773840
281000,42.754668
282000,42.231911
283000,41.714002
284000,42.200012
285000,42.432421
286000,41.677520
287000,41.739520
288000,41.755699
289000,41.753066
290000,42.062993
291000,43.017999
292000,42.339866
293000,42.509696
294000,43.279063
295000,42.546710
296000,42.605755
297000,42.688250
298000,41.603355
299000,42.144276
300000,40.541457
301000,41.068557
302000,41.304307
303000,41.407081
304000,41.723631
305000,41.619353
306000,41.337048
307000,40.716138
308000,40.252136
309000,40.527361
310000,40.646587
311000,42.185058
312000,42.728102
313000,42.202687
314000,42.445704
315000,42.920738
316000,43.515932
317000,44.936564
318000,42.466941
319000,41.944448
320000,42.071987
321000,43.603856
322000,43.513971
323000,42.818906
324000,42.489448
325000,42.753030
326000,41.937882
327000,41.483671
328000,41.544095
329000,42.166438
330000,41.720326
331000,41.488274
332000,40.936773
333000,41.542028
334000,42.137602
335000,42.287036
336000,42.291450
337000,42.130114
338000,42.742225
339000,41.985300
340000,42.206405
341000,42.455963
342000,41.474865
343000,41.812212
344000,40.408713
345000,40.265771
346000,40.782729
347000,40.632712
348000,40.860915
349000,40.873606
350000,41.589856
351000,40.469593
352000,40.352543
353000,40.453557
354000,40.230176
355000,41.744830
356000,41.708598
357000,42.331019
358000,41.731566
359000,42.229805
360000,43.112479
361000,44.404748
362000,42.888853
363000,41.084239
364000,41.849319
365000,42.455863
366000,42.855468
367000,42.655332
368000,42.087296
369000,42.846820
370000,41.295605
371000,41.087009
372000,40.739348
373000,41.808874
374000,41.389774
375000,41.024948
376000,40.969834
377000,41.378824
378000,41.525240
379000,41.611284
380000,41.923057
381000,42.396526
382000,41.954513
383000,42.231609
384000,42.168354
385000,41.668822
386000,41.727236
387000,40.820774
388000,40.887859
389000,39.476436
390000,40.186266
391000,39.901060
392000,40.360217
393000,40.418318
394000,41.752348
395000,40.234537
396000,40.272443
397000,39.771425
398000,39.876008
399000,41.057241
400000,41.244066
401000,41.915411
402000,41.415218
403000,41.914754
404000,42.526563
405000,42.918860
406000,43.325218
407000,41.451035
408000,41.506616
409000,41.970442
410000,42.614871
411000,42.776000
412000,41.794868
413000,42.665904
414000,41.488808
415000,40.816414
416000,40.551731
417000,41.358592
418000,41.310188
419000,40.645533
420000,40.715771
421000,40.906988
422000,40.887379
423000,41.155110
424000,42.091952
425000,41.259423
426000,41.218533
427000,42.409828
428000,41.639607
429000,41.453062
430000,41.563256
431000,40.532855
432000,41.077901
433000,39.313333
434000,40.089510
435000,40.231510
436000,40.236882
437000,40.565193
438000,40.976151
439000,40.265811
440000,39.939337
441000,39.209744
442000,39.358303
443000,39.663490
